 -422.57 -587.46 -683.70 -841.30 -595.51 -546.17 -549.91 -943.54-1023.99 -904.93
 2975.32 3063.91 3117.11 3161.54 3199.42 3230.15 3253.61 3270.66 3282.25 3290.86
 3295.83 3294.52 3286.93 3272.60 3252.75 3228.23 3201.69 3168.58 3129.86 3090.51
 3037.22 2991.90 2945.59 2903.95 2884.40 2886.67 2902.30 2924.99 2947.17 2966.59
 2981.27 2991.08 2997.48 3000.07 3002.40 3004.00 3003.42 3000.72 2998.24 2992.30
 2986.12 2981.32 2978.70 2977.30 2978.48 2980.66 2985.23 2989.71 2996.08 3002.19
 3009.63 3017.06 3024.50 3032.66 3040.39 3047.90 3055.11 3061.72 3067.56 3072.62
 3076.01 3078.71 3080.00 3079.27 3077.63 3074.90 3070.51 3065.91 3060.62 3055.84
 3052.03 3048.73 3045.63 3043.10 3040.89 3039.51 3038.00 3035.15 3030.61 3024.93
 3020.61 3015.55 3008.86 2999.33 2987.36 2972.79 2961.37 2954.83 2947.13 2936.52
 2905.39 2838.37 2697.44 2457.72 2291.71 2206.85 2108.98 1993.10 1850.81 1716.19
 1597.00 1440.70 1383.35 1400.48 1418.64 1406.53 1299.92 1077.24  995.73  989.26
 1030.26 1060.02 1108.60 1303.82 1539.40 1682.89 1745.33 1786.09 1833.93 1922.80
 1999.52 2024.00 2012.09 1993.73 1979.90 1973.52 1963.70 1955.28 1943.63 1917.14
 1868.92 1814.76 1751.76 1591.18 1404.23 1239.99 1048.07  868.21  713.85  649.04
  629.28  626.43  636.70  590.62  549.11  586.05  614.23  522.99  440.43  584.97
  611.88  571.78  484.07  410.57  392.28  378.88  365.56  364.29  376.31  381.38
  392.30  406.72  451.38  530.94  626.64  723.28  746.92  600.89  669.52  867.30
 1015.82 1033.04  917.78  770.58  787.36  847.69 1003.63 1193.01 1342.55 1353.35
 1347.53 1352.24 1380.36 1408.32 1424.18 1419.60 1437.35 1434.82 1448.02 1483.50
 1548.32 1610.15 1631.82 1663.02 1702.36 1711.69 1721.47 1775.03 1855.20 1959.29
 2113.75 2295.89 2463.92 2632.45 2668.35 2663.93 2658.09 2654.12 2648.73 2640.59
 2633.84 2628.10 2622.55 2615.79 2603.81 2596.78 2593.03 2596.29 2599.60 2602.43
 2604.09 2604.71 2601.74 2599.58 2596.44 2592.66 2583.83 2571.33 2557.83 2544.00
 2532.92 2522.75 2502.48 2462.27 2427.23 2419.20 2404.28 2376.32 2372.13 2413.81
 2479.84 2366.55 2400.59 2375.83 2355.41 2351.11 2359.81 2349.81 2358.65 2377.15
 2391.75 2411.11 2426.46 2439.09 2447.70 2455.43 2462.08 2470.04 2479.44 2489.53
 2495.00 2495.25 2494.29 2491.57 2475.96 2478.90 2485.15 2485.21 2471.63 2450.46
 2430.34 2397.76 2340.23 2283.69 2179.94 2118.91 2055.21 1964.82 1907.43 1861.50
 1832.71 1878.11 1873.01 1856.27 1779.27 1713.18 1436.74 1269.63 1226.60 1148.70
  969.51  815.70  776.40  607.50  541.70  738.21  779.85  748.14  767.10  738.85
  637.70  500.13  343.39  274.30  306.56  302.89  687.60  771.86  749.18  735.21
  704.88  657.12  652.09  689.40  745.76  805.17  831.57  843.80  877.32  897.81
