 1192.47 1180.34 1168.82 1164.62 1148.93 1130.61 1112.90 1104.57 1098.46 1093.47
 1096.85 1100.23 1100.61 1105.91 1110.64 1115.46 1120.53 1125.61 1135.57 1146.00
 1154.79 1166.40 1184.01 1202.07 1227.36 1254.78 1282.28 1307.54 1334.29 1363.09
 1389.65 1413.70 1435.72 1452.42 1473.96 1495.99 1516.67 1536.33 1556.69 1570.73
 1581.81 1592.99 1599.18 1602.91 1606.63 1608.87 1610.23 1611.58 1612.41 1613.09
 1613.44 1613.44 1613.44 1613.26 1613.59 1614.27 1614.95 1617.19 1619.56 1621.12
 1624.03 1628.11 1632.21 1637.64 1643.07 1648.48 1653.73 1659.16 1664.18 1667.27
 1671.35 1675.44 1680.10 1685.20 1690.83 1698.31 1705.78 1713.68 1719.80 1725.91
 1731.76 1735.84 1739.93 1742.73 1745.46 1748.19 1750.40 1754.15 1757.87 1761.41
 1767.09 1772.89 1779.39 1786.53 1793.94 1803.53 1810.32 1817.11 1823.91 1830.70
 1837.24 1845.48 1854.31 1863.14 1876.40 1888.26 1900.13 1912.45 1922.95 1933.45
 1939.77 1945.19 1950.72 1951.37 1952.38 1953.40 1953.16 1952.82 1950.59 1953.76
 1957.17 1960.03 1966.49 1972.95 1980.21 1985.21 1989.97 1994.27 1996.72 1999.79
 2002.56 2003.93 2005.31 2007.25 2008.57 2009.60 2011.27 2014.36 2017.42 2020.91
 2025.32 2029.73 2033.78 2038.54 2043.30 2047.89 2051.96 2056.04 2060.12 2064.20
 2068.27 2072.15 2075.21 2078.27 2081.80 2085.87 2089.95 2093.37 2095.75 2098.12
 2101.60 2105.33 2109.06 2112.78 2116.51 2120.24 2122.40 2123.74 2125.09 2127.84
 2130.88 2133.89 2136.89 2139.94 2142.98 2143.84 2144.52 2145.25 2148.96 2152.68
 2156.39 2159.43 2162.47 2165.27 2164.93 2164.58 2164.42 2166.44 2168.47 2171.03
 2176.45 2181.87 2186.91 2190.64 2194.36 2197.29 2198.65 2200.01 2201.91 2204.97
 2208.02 2210.85 2212.53 2214.21 2216.88 2220.94 2224.99 2228.87 2232.58 2236.30
 2240.37 2244.76 2249.15 2253.56 2257.95 2262.33 2265.88 2268.91 2271.94 2274.98
 2278.01 2281.05 2283.39 2285.41 2287.43 2289.45 2291.47 2293.49 2295.84 2298.21
 2300.57 2303.88 2307.27 2310.65 2314.90 2319.30 2323.69 2327.44 2331.16 2334.81
 2336.04 2337.05 2338.30 2342.71 2347.11 2351.30 2355.67 2360.07 2364.19 2366.89
 2369.59 2372.07 2373.76 2375.45 2377.46 2379.49 2381.52 2384.35 2388.09 2391.82
 2394.31 2394.66 2395.00 2397.03 2401.44 2405.86 2409.00 2410.70 2412.40 2415.90
 2420.66 2425.41 2428.08 2429.78 2431.47 2432.13 2432.13 2432.25 2434.98 2438.05
